更新时间,#genre#
2024-11-05 06:30:41,url
📺央视频道,#genre#
CCTV-1,http://222.218.158.76:8181/tsfile/live/0001_1.m3u8$订阅源|1920x1080
CCTV-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源
CCTV-1,http://play.kankanlive.com/live/1661761962676984.m3u8$订阅源
CCTV-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$订阅源
CCTV-1,http://121.24.98.154:8090/hls/9/index.m3u8$订阅源
CCTV-1,http://58.220.219.14:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://219.159.194.172:8181/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://58.57.21.166:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://58.57.21.166:9901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源
CCTV-1,http://113.220.232.121:9999/tsfile/live/0017_1.m3u8$订阅源|1920x1080
CCTV-1,http://139.196.151.191:9123/rtp/239.45.3.145:5140$上海电信组播源
CCTV-1,http://122.9.151.210:4472/rtp/238.255.2.91:5999$贵州电信组播源
CCTV-1,http://123.56.129.203:1620/rtp/225.1.8.1:8008$北京电信组播源
CCTV-1,http://123.56.129.203:1620/rtp/225.1.8.101:8080$北京电信组播源
CCTV-1,http://123.56.129.203:4310/rtp/225.1.8.101:8080$组播源
CCTV-1,http://120.55.49.231:8617/rtp/233.50.201.99:5140$组播源
CCTV-1,http://122.9.151.210:887/rtp/238.255.2.91:5999$组播源
CCTV-1,http://42.237.181.126:4000/rtp/225.1.4.73:1102$组播源|1920x1080
CCTV-1,http://139.196.151.191:6846/rtp/239.45.3.145:5140$组播源
CCTV-1,http://123.56.129.203:4310/rtp/225.1.8.1:8008$组播源
CCTV-2,http://121.24.98.232:8090/hls/10/index.m3u8$订阅源
CCTV-2,http://116.117.106.144:8096/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://183.66.15.146:60901/tsfile/live/0002_1.m3u8?key=txiptv$订阅源|1920x1080
CCTV-2,http://223.151.49.74:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-2,http://116.117.105.198:8096/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://fm1077.serv00.net/Smart.php?id=cctv2$订阅源
CCTV-2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv$订阅源
CCTV-2,http://58.57.21.166:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-2,http://139.196.151.191:9123/rtp/239.45.1.109:5140$上海电信组播源
CCTV-2,http://122.9.151.210:4472/rtp/238.255.2.11:5999$贵州电信组播源
CCTV-2,http://123.56.129.203:1620/rtp/225.1.8.2:8084$北京电信组播源
CCTV-2,http://123.56.129.203:1620/rtp/225.1.8.102:8004$北京电信组播源
